Rank , Code , Company, Price , 1 Day , 1 Month , 1 Year , Sector , Mkt Cap
2051, CR9, Corella Resources Ltd, $0.007, +16.67%, +40.00%, +180.01%, Materials, $7.27M
2061, CRB, Carbine Resources Ltd, $0.006, 0.00%, -14.29%, +50.00%, Materials, $7.15M
986, CRD, Conrad Asia Energy Ltd, $0.63, +8.62%, -16.00%, -29.21%, Energy, $121.66M
289, CRED, Betashares Australian Investment Grade Corporate Bond ETF, $23.16, +0.17%, -1.36%, +0.74%, Financials, $1.55B
1135, CRI, Critica Ltd, $0.027, +3.85%, +8.00%, +107.69%, Materials, $78.59M
521, CRN, Coronado Global Resources Inc, $0.325, +1.56%, +30.00%, -56.08%, Materials, $544.85M
1555, CRR, Critical Resources Ltd, $0.009, 0.00%, -10.00%, +50.00%, Materials, $27.08M
1190, CRS, Caprice Resources Ltd, $0.095, -1.04%, -26.92%, +331.82%, Materials, $67.01M
838, CRYP, Betashares CRYPTO Innovators ETF, $7.09, -2.74%, +2.75%, -3.01%, Financials, $189.3M
178, CSC, Capstone Copper Corp, $15.23, +2.70%, +26.29%, +48.88%, Materials, $3B
7, CSL, CSL Ltd, $171.48, -2.38%, -4.12%, -38.92%, Health Care, $83.19B
1424, CST, Castile Resources Ltd, $0.12, 0.00%, +20.00%, +50.00%, Materials, $36.69M
1282, CSX, Cleanspace Holdings Ltd, $0.67, 0.00%, +2.29%, +48.89%, Health Care, $52.52M
2264, CT1, Constellation Technologies Ltd, $0.002, 0.00%, 0.00%, 0.00%, Information Technology, $2.95M
209, CTD, Corporate Travel Management Ltd, $16.07, 0.00%, 0.00%, +21.74%, Consumer Discretionary, $2.35B
1307, CTE, Cryosite Ltd, $1.01, 0.00%, -15.13%, +18.82%, Health Care, $49.3M
714, CTM, Centaurus Metals Ltd, $0.535, +9.18%, +33.75%, +48.61%, Materials, $301.11M
2060, CTN, Catalina Resources Ltd, $0.003, 0.00%, -16.67%, -11.11%, Materials, $7.16M
1313, CTO, Citigold Corporation Ltd, $0.016, +6.67%, +45.46%, +300.00%, Materials, $48M
1318, CTP, Central Petroleum Ltd, $0.063, +3.28%, +5.00%, +21.15%, Energy, $47.42M
2272, CTQ, Careteq Ltd, $0.011, +10.00%, +10.00%, +10.00%, Health Care, $2.61M
654, CTT, Cettire Ltd, $0.93, +4.49%, +51.22%, -35.19%, Consumer Discretionary, $354.55M
326, CU6, Clarity Pharmaceuticals Ltd, $3.36, +5.33%, -6.15%, -16.00%, Health Care, $1.25B
1133, CUE, CUE Energy Resources Ltd, $0.113, -2.17%, +2.27%, +18.42%, Energy, $78.73M
1290, CUF, Cufe Ltd, $0.03, -9.09%, -25.00%, +200.00%, Materials, $51.8M
389, CUIV, CB GLBL Infrastructure Value Active ETF, $1.48, 0.00%, -1.33%, +4.97%, Financials, $916.09M
2103, CUL, Cullen Resources Ltd, $0.009, +12.50%, +28.57%, +125.00%, Materials, $6.24M
843, CUP, Count Ltd, $1.10, 0.00%, +2.80%, +39.24%, Industrials, $187.21M
1380, CURE, Global X S&P Biotech ETF, $63.30, -2.07%, +5.68%, +26.75%, Financials, $40.77M
487, CUV, Clinuvel Pharmaceuticals Ltd, $12.78, -2.59%, +18.88%, +5.19%, Health Care, $641.57M
1445, CVB, Curvebeam Ai Ltd, $0.075, +4.17%, -2.60%, -31.82%, Health Care, $35.09M
757, CVC, CVC Ltd, $2.15, 0.00%, +3.87%, -6.52%, Financials, $250.77M
446, CVL, Civmec Ltd, $1.44, 0.00%, +4.73%, +8.27%, Industrials, $733.86M
906, CVN, Carnarvon Energy Ltd, $0.086, 0.00%, -5.50%, -42.67%, Energy, $153.86M
1594, CVR, Cavalier Resources Ltd, $0.34, -4.23%, +6.25%, +240.00%, Materials, $24.26M
883, CVV, Caravel Minerals Ltd, $0.295, +3.51%, +31.11%, +57.33%, Materials, $164.83M
662, CVW, Clearview Wealth Ltd, $0.55, 0.00%, +1.85%, +52.78%, Financials, $345.64M
440, CWP, Cedar Woods Properties Ltd, $8.74, 0.00%, +2.10%, +57.48%, Real Estate, $743.56M
115, CWY, Cleanaway Waste Management Ltd, $2.61, +0.77%, +1.16%, -2.61%, Industrials, $5.85B
900, CXL, CALIX Ltd, $0.73, +8.15%, +30.36%, -1.35%, Materials, $157.37M
438, CXO, Core Lithium Ltd, $0.285, -1.72%, +29.55%, +247.56%, Materials, $758.25M
1385, CXU, Cauldron Energy Ltd, $0.022, +4.76%, 0.00%, +73.75%, Energy, $40.07M
1659, CXZ, Connexion Mobility Ltd, $0.026, 0.00%, 0.00%, 0.00%, Information Technology, $20.78M
844, CY5, CYGNUS Metals Ltd, $0.175, +6.06%, +52.17%, +84.21%, Materials, $186.27M
1747, CYB, Aucyber Ltd, $0.081, 0.00%, +12.50%, -43.73%, Information Technology, $16.91M
1033, CYC, Cyclopharm Ltd, $0.965, -1.53%, +26.14%, -36.09%, Health Care, $107.25M
1136, CYG, Coventry Group Ltd, $0.565, 0.00%, -5.04%, -52.54%, Industrials, $78.57M
235, CYL, Catalyst Metals Ltd, $7.67, 0.00%, +12.46%, +199.61%, Materials, $2B
800, CYM, Cyprium Metals Ltd, $0.435, +3.57%, +33.85%, +99.54%, Materials, $214.09M
1161, CYP, Cynata Therapeutics Ltd, $0.305, +5.17%, +19.61%, +45.24%, Health Care, $72.42M
2290, CYQ, CYCLIQ Group Ltd, $0.004, 0.00%, -33.33%, 0.00%, Consumer Discretionary, $1.84M
2005, CZN, Corazon Mining Ltd, $0.135, 0.00%, -18.18%, +8.00%, Materials, $8.39M
1038, CZR, CZR Resources Ltd, $0.44, -2.22%, +18.92%, +114.63%, Materials, $105.2M
1542, D3E, D3 Energy Ltd, $0.33, 0.00%, -17.50%, +317.72%, Energy, $27.55M
102, DACE, Dimensional Australian Core Equity Trust - Active ETF, $18.60, -0.48%, +4.55%, +12.80%, Financials, $6.43B
2110, DAF, Discovery Alaska Ltd, $0.026, +44.44%, +85.71%, +85.71%, Materials, $6.09M
816, DAI, Decidr Ai Industries Ltd, $0.64, -3.76%, +6.67%, -21.47%, Consumer Staples, $204.13M
1805, DAL, Dalaroo Metals Ltd, $0.042, 0.00%, +7.69%, +133.33%, Materials, $13.87M
912, DAOR, Aoris Int Fund (Class D) (Hedged) Active ETF, $1.96, -0.25%, +4.53%, +5.95%, Financials, $151.05M
317, DAVA, Dimensional Australian Value Trust - Active ETF, $30.94, -0.51%, +5.24%, +15.15%, Financials, $1.34B
1414, DBBF, Betashares Ethical Diversified Balanced ETF, $26.34, -0.11%, +0.53%, +0.80%, Financials, $37.78M
1098, DBF, Duxton Farms Ltd, $0.81, 0.00%, -4.14%, -42.76%, Consumer Staples, $86.77M
203, DBI, Dalrymple Bay Infrastructure Ltd, $4.91, -1.21%, +13.13%, +37.54%, Industrials, $2.43B
2172, DBO, Diablo Resources Ltd, $0.021, +5.00%, -22.22%, +23.53%, Materials, $4.95M
1237, DCC, Digitalx Ltd, $0.04, -2.44%, -14.89%, -29.83%, Information Technology, $59.58M
1193, DCOR, Daintree Core Income Active ETF, $51.81, 0.00%, +0.19%, +1.51%, Financials, $66.7M
248, DDR, Dicker Data Ltd, $10.16, -0.88%, +2.21%, +20.67%, Information Technology, $1.84B
2112, DDT, Datadot Technology Ltd, $0.005, 0.00%, +25.00%, +25.00%, Consumer Discretionary, $6.05M
1647, DEL, Delorean Corporation Ltd, $0.096, -8.57%, -33.79%, -40.00%, Utilities, $21.15M
1439, DEM, De.Mem Ltd, $0.11, +4.76%, 0.00%, -12.00%, Utilities, $35.64M
1455, DES, Desoto Resources Ltd, $0.125, -10.71%, -16.67%, +66.67%, Materials, $34.28M
1070, DEV, DEVEX Resources Ltd, $0.17, 0.00%, +21.43%, +82.80%, Materials, $93.86M
146, DFGH, Dimensional Global Core Equity Trust Aud Hedged - Active ETF, $41.09, +0.12%, +5.74%, +17.37%, Financials, $3.78B
746, DFND, Vaneck Global Defence ETF, $37.13, -0.67%, +3.14%, +57.13%, Financials, $261.77M
125, DGCE, Dimensional Global Core Equity Trust Unhedged - Active ETF, $30.39, -0.39%, +2.36%, +8.65%, Financials, $5.02B
1273, DGGF, Betashares Ethical Diversified Growth ETF, $28.70, +0.21%, +1.16%, +0.14%, Financials, $54.09M
1448, DGH, Desane Group Holdings Ltd, $0.85, 0.00%, 0.00%, -0.59%, Real Estate, $34.77M
910, DGL, DGL Group Ltd, $0.535, 0.00%, 0.00%, -10.08%, Materials, $152.6M
1441, DGR, DGR Global Ltd, $0.034, 0.00%, +88.89%, +240.00%, Materials, $35.49M
483, DGSM, Dimensional Global Small Company - Active ETF, $37.17, -1.04%, +4.21%, +7.06%, Financials, $652.51M
293, DGT, Digico Infrastructure REIT, $2.76, -0.72%, +14.05%, -39.47%, Real Estate, $1.53B
362, DGVA, Dimensional Global Value Trust - Active ETF, $27.69, 0.00%, +4.02%, +13.21%, Financials, $1.05B
365, DHHF, Betashares Diversified All Growth ETF, $40.20, +0.35%, +2.84%, +9.39%, Financials, $1.04B
1302, DHOF, Daintree HYBRID Opportunities Active ETF, $9.77, +0.41%, +0.62%, +0.62%, Financials, $50.24M
821, DIFF, Perpetual Diversified Income Active ETF, $10.16, 0.00%, +0.40%, +1.30%, Financials, $200.17M
523, DIVI, Ausbil Active Dividend Income Fund - Active ETF, $11.16, -0.36%, +4.69%, -1.15%, Financials, $540.76M
544, DJRE, State Street SPDR Dow Jones GBL Real Estate Esg Tilted ETF, $21.40, -1.02%, -3.08%, -2.19%, N/A, $505.49M
423, DJW, Djerriwarrh Investments Ltd, $3.10, +0.32%, +1.64%, -3.73%, Financials, $814.87M
1742, DKM, Duketon Mining Ltd, $0.14, 0.00%, -17.65%, +40.00%, Materials, $17.16M
913, DLI, Delta Lithium Ltd, $0.21, -2.33%, -6.67%, +27.27%, Materials, $150.62M
2185, DM1, Desert Metals Ltd, $0.009, 0.00%, +5.88%, -60.87%, Materials, $4.7M
1346, DME, Dome Gold Mines Ltd, $0.105, 0.00%, -22.22%, -47.50%, Materials, $44M
2240, DMG, Dragon Mountain Gold Ltd, $0.009, +12.50%, +12.50%, +80.00%, Materials, $3.55M
2270, DMM, DMC Mining Ltd, $0.058, 0.00%, 0.00%, 0.00%, Materials, $2.69M
236, DMP, Domino's PIZZA Enterprises Ltd, $21.08, -2.00%, +5.35%, -28.54%, Consumer Discretionary, $1.99B
657, DN1, Dominion Income Trust 1, $102.25, +0.01%, +2.25%, +2.25%, Financials, $352.76M
117, DNL, Dyno Nobel Ltd, $3.26, -1.51%, 0.00%, +10.14%, Materials, $5.82B
1278, DOC, Doctor Care Anywhere Group Plc, $0.145, +20.83%, +11.54%, +81.25%, Health Care, $53.16M
121, DOW, Downer Edi Ltd, $8.02, +0.13%, +5.39%, +49.35%, Industrials, $5.33B
352, DPM, DPM Metals Inc, $47.00, -1.28%, +30.56%, +48.27%, Materials, $1.11B
920, DRE, Dreadnought Resources Ltd, $0.026, -3.70%, -16.13%, +136.36%, Materials, $146.7M
1217, DRGN, Global X China Tech ETF, $12.80, -1.31%, +4.66%, +25.61%, Financials, $64M
1828, DRIV, Betashares Electric Vehicles and FTR Mobility ETF, $10.35, -0.96%, +6.70%, +17.08%, Financials, $13.26M
177, DRO, Droneshield Ltd, $3.29, +0.61%, +91.84%, +414.06%, Industrials, $3.01B
218, DRR, Deterra Royalties Ltd, $4.16, -2.12%, +9.19%, +8.62%, Materials, $2.2B
871, DRUG, Betashares Global Healthcare Currency Hedged ETF, $8.76, -0.23%, +1.27%, +10.19%, Financials, $170.38M
1075, DRX, Diatreme Resources Ltd, $0.019, 0.00%, -2.63%, -11.91%, Materials, $92.65M
1309, DSK, Dusk Group Ltd, $0.78, +0.65%, -4.88%, -35.54%, Consumer Discretionary, $48.57M
2132, DSM, Desert Minerals Ltd, $0.23, 0.00%, +4.55%, +15.00%, Materials, $5.75M
1039, DTEC, Global X Defence Tech ETF, $17.61, 0.00%, +2.21%, +62.45%, Financials, $104.78M
1954, DTI, DTI Group Ltd, $0.011, 0.00%, +10.00%, -3.30%, Information Technology, $9.87M
309, DTL, Data#3 Ltd, $9.05, -2.79%, +2.61%, +40.75%, Information Technology, $1.4B
2022, DTM, Dart Mining NL, $0.038, 0.00%, +15.15%, -74.67%, Materials, $7.97M
428, DTR, Dateline Resources Ltd, $0.23, -2.13%, -13.21%, +7566.67%, Materials, $801.43M
1538, DTZ, DOTZ Nano Ltd, $0.04, -4.76%, -11.11%, -59.18%, Information Technology, $27.72M
1332, DUB, Dubber Corporation Ltd, $0.017, -5.56%, +6.25%, -34.62%, Information Technology, $45.87M
725, DUG, DUG Technology Ltd, $2.10, -1.87%, +3.45%, +62.79%, Information Technology, $284.37M
347, DUI, Diversified United Investment Ltd, $5.38, -0.56%, +4.67%, +2.09%, Financials, $1.15B
2085, DUN, Dundas Minerals Ltd, $0.042, +2.44%, +7.69%, +23.53%, Materials, $6.57M
547, DUR, Duratec Ltd, $1.925, +1.85%, +8.45%, +28.33%, Industrials, $496.36M
1440, DVDY, Vaneck Morningstar Australian Moat Income ETF, $21.85, 0.00%, -0.50%, -2.33%, Financials, $35.62M
1409, DVL, Dorsavi Ltd, $0.034, 0.00%, -15.00%, +183.33%, Health Care, $38.26M
292, DVP, Develop Global Ltd, $4.66, -0.21%, +44.72%, +111.82%, Materials, $1.54B
1975, DWG, Dataworks Group Ltd, $0.09, 0.00%, +60.71%, -55.00%, Information Technology, $9.27M
690, DXB, Dimerix Ltd, $0.535, -14.40%, +17.58%, +72.58%, Health Care, $321.21M
607, DXC, Dexus Convenience Retail REIT, $2.88, -0.35%, +0.35%, -1.37%, Real Estate, $396.74M
409, DXI, Dexus Industria REIT, $2.72, -1.81%, -1.81%, +4.22%, Real Estate, $862.97M
1855, DXN, DXN Ltd, $0.04, 0.00%, -14.89%, -29.83%, Information Technology, $12.48M
86, DXS, Dexus, $7.12, -0.42%, +0.14%, +0.28%, Real Estate, $7.66B
252, DYL, Deep Yellow Ltd, $1.875, -1.06%, +20.19%, +68.16%, Energy, $1.83B
1609, DYM, Dynamic Metals Ltd, $0.45, +9.76%, +32.35%, +60.71%, Materials, $23.04M
1022, DZZF, Betashares Ethical Diversified High Growth ETF, $31.36, -0.35%, +1.62%, +0.22%, Financials, $110.67M
756, E200, State Street SPDR S&P/ASX 200 Esg ETF, $26.96, -0.63%, +3.85%, +2.59%, Financials, $251.43M
1108, E25, Element 25 Ltd, $0.32, +1.59%, +14.29%, +23.08%, Materials, $85.05M
1983, E79, E79 Gold Mines Ltd, $0.028, 0.00%, +12.00%, +47.37%, Materials, $9.1M
1427, EAFZ, Ellerston Asia Growth Fund Complex ETF, $7.64, 0.00%, -0.52%, +1.87%, Financials, $36.6M
1820, EARN, Pimco Short Term Active Yield Active ETF, $20.06, 0.00%, +0.10%, +0.20%, Financials, $13.54M
1545, EAT, Entertainment Rewards Ltd, $0.021, 0.00%, 0.00%, +425.00%, Communication Services, $27.48M
1675, EAX, Energy Action Ltd, $0.505, -4.72%, -0.98%, +77.19%, Industrials, $20.33M
741, EBND, Vaneck Emerging Income Opportunities Active ETF, $11.02, +0.09%, -0.90%, +7.20%, Financials, $264.14M
128, EBO, Ebos Group Ltd, $24.18, -1.06%, -4.24%, -30.52%, Health Care, $4.96B
597, EBR, EBR Systems Inc, $0.91, 0.00%, -13.33%, -9.90%, Health Care, $409.53M
740, ECF, Elanor Commercial Property Fund, $0.65, +3.18%, +0.78%, +5.69%, Real Estate, $264.55M
1155, ECH, Echelon Resources Ltd, $0.33, -1.49%, -5.71%, -4.35%, Energy, $73.9M
966, ECL, Excelsior Capital Ltd, $4.40, +1.15%, +2.09%, +39.24%, Industrials, $127.58M
1664, ECP, ECP Emerging Growth Ltd, $1.12, -3.03%, -4.88%, -24.58%, Financials, $20.6M
1909, ECPGA, ECP Emerging Growth Ltd, $1.44, 0.00%, +1.34%, -0.69%, N/A, $10.9M
2305, ECRD, Betashares Aust Enhanced Credit Income Complex ETF, $25.40, +0.08%, +1.28%, +1.28%, Financials, $1.02M
1967, ECS, ECS Botanics Holdings Ltd, $0.006, 0.00%, +20.00%, -62.50%, Health Care, $9.58M
1321, ECT, Environmental Clean Technologies Ltd, $0.17, +13.33%, +54.55%, +353.33%, Industrials, $46.93M
1575, EDE, Eden Innovations Ltd, $0.046, -2.13%, +15.00%, +22.60%, Energy, $25.33M
994, EDU, EDU Holdings Ltd, $0.825, -3.51%, +33.07%, +816.67%, Consumer Discretionary, $118.74M
95, EDV, Endeavour Group Ltd, $3.68, +0.27%, +0.55%, -12.59%, Consumer Staples, $6.61B
2236, EE1, EARTHS Energy Ltd, $0.007, 0.00%, -12.50%, -30.00%, Materials, $3.71M
2155, EEL, Enrg Elements Ltd, $0.001, 0.00%, 0.00%, +20.01%, Materials, $5.28M
2197, EFE, Eastern Resources Ltd, $0.035, +6.06%, -7.90%, +25.00%, Materials, $4.54M
2015, EG1, Evergold Minerals Ltd, $0.03, +3.45%, -21.05%, -53.13%, Materials, $8.09M
1250, EGG, Enero Group Ltd, $0.63, +5.00%, +1.61%, -40.57%, Communication Services, $57.16M
817, EGH, Eureka Group Holdings Ltd, $0.475, +1.06%, -4.04%, -22.76%, Real Estate, $202.62M
1088, EGL, Environmental Group Ltd (the), $0.23, -4.17%, 0.00%, -25.81%, Industrials, $87.51M
849, EGR, Ecograf Ltd, $0.395, 0.00%, -16.84%, +338.89%, Materials, $182.31M
1928, EGY, Energy Technologies Ltd, $0.021, 0.00%, -4.55%, -32.26%, Industrials, $10.5M
481, EHL, Emeco Holdings Ltd, $1.26, -1.18%, -0.79%, +38.46%, Industrials, $653.15M
1533, EIGA, Perennial Income Generator Active ETF, $3.70, 0.00%, +4.52%, -3.65%, Financials, $27.98M
875, EIQ, Echoiq Ltd, $0.26, -1.89%, +13.04%, +8.33%, Information Technology, $169.07M
924, EL8, Elevate Uranium Ltd, $0.31, +10.71%, +26.53%, +29.17%, Energy, $144.45M
295, ELD, Elders Ltd, $6.97, 0.00%, -7.93%, -3.99%, Consumer Staples, $1.49B
460, ELS, Elsight Ltd, $3.21, +0.63%, +110.49%, +733.77%, Information Technology, $705.15M
1000, ELT, Elementos Ltd, $0.345, +1.47%, +21.19%, +393.40%, Materials, $114.87M
313, ELV, Elevra Lithium Ltd, $8.14, +7.82%, +65.45%, +108.72%, Materials, $1.38B
1924, EM2, Eagle Mountain Mining Ltd, $0.008, 0.00%, -9.82%, +10.22%, Materials, $10.55M
1456, EM3, Emc Gold Corporation, $0.085, -4.49%, +26.87%, +39.34%, Materials, $34.08M
1973, EMA, Eminence Minerals Ltd, $0.06, 0.00%, -25.00%, -47.83%, Materials, $9.34M
1734, EMB, Embelton Ltd, $8.10, 0.00%, -0.61%, -4.26%, Industrials, $17.48M
1464, EMC, Everest Metals Corporation Ltd, $0.125, 0.00%, +8.70%, -7.41%, Materials, $33.71M
1353, EMD, Emyria Ltd, $0.054, +1.89%, -11.48%, +54.29%, Health Care, $43.43M
1770, EME, Energy Metals Ltd, $0.075, -7.41%, -9.64%, -22.68%, Energy, $15.73M
1160, EMH, European Metals Holdings Ltd, $0.32, -12.33%, +45.46%, +82.86%, Materials, $72.5M
596, EMKT, Vaneck MSCI Multifactor Em Markets Equity ETF, $30.76, +0.62%, -0.10%, +16.74%, Financials, $412.33M
661, EML, EML Payments Ltd, $0.895, 0.00%, +7.83%, +13.29%, Financials, $347.01M
2016, EMN, Euro Manganese Inc, $0.175, +9.38%, +2.94%, +2.94%, Materials, $8.09M
1130, EMP, Emperor Energy Ltd, $0.096, -3.03%, +29.73%, +269.23%, Energy, $79.72M
137, EMR, Emerald Resources NL, $6.44, -0.31%, +27.02%, +95.15%, Materials, $4.25B
2208, EMT, Emetals Ltd, $0.005, 0.00%, -16.67%, +25.00%, Materials, $4.25M
1847, EMU, EMU NL, $0.044, +10.00%, 0.00%, +80.71%, Materials, $12.59M
887, EMV, Emvision Medical Devices Ltd, $1.76, -0.57%, -0.28%, -6.13%, Health Care, $163.57M
615, EMXC, iShares MSCI Emerging Markets Ex China ETF, $32.47, +0.65%, +1.12%, +20.22%, Financials, $386.28M
1766, ENL, Enlitic Inc, $0.019, -13.64%, -13.64%, -69.36%, Health Care, $15.83M
1003, ENN, Elanor Investors Group, $0.82, 0.00%, 0.00%, 0.00%, Consumer Discretionary, $114.66M
1311, ENP, Entropy Neurodynamics Ltd, $0.031, 0.00%, -11.43%, -18.42%, Health Care, $48.35M
803, ENR, Encounter Resources Ltd, $0.38, 0.00%, -5.00%, +15.15%, Materials, $212.42M
2117, ENT, Enterprise Metals Ltd, $0.004, 0.00%, 0.00%, 0.00%, Materials, $5.98M
1968, ENV, Enova Mining Ltd, $0.006, -7.69%, -14.29%, +20.00%, Materials, $9.47M
1184, ENX, Enegex Ltd, $0.265, 0.00%, +51.43%, +253.33%, Materials, $67.89M
527, EOL, Energy One Ltd, $17.07, -1.84%, +6.62%, +149.56%, Information Technology, $537.42M
257, EOS, Electro Optic Systems Holdings Ltd, $9.25, -1.60%, +101.97%, +677.31%, Industrials, $1.78B
856, EPI, Epiminder Ltd, $1.03, -1.91%, -31.33%, -31.33%, Health Care, $180.44M
1162, EPM, Eclipse Metals Ltd, $0.022, +10.00%, +10.00%, +340.00%, Energy, $72.42M
1840, EPN, Epsilon Healthcare Ltd, $0.034, +3.03%, +41.67%, +41.67%, Health Care, $12.89M
1654, EPX, EPX Ltd, $0.28, 0.00%, +7.69%, +55.56%, Information Technology, $21.02M
1292, EPY, Earlypay Ltd, $0.195, +5.41%, -7.14%, 0.00%, Financials, $51.7M
1689, EQIN, Investors Mutual Equity Income Fund - Complex ETF, $3.92, 0.00%, +1.55%, -2.00%, Financials, $19.55M
630, EQR, EQ Resources Ltd, $0.081, +2.53%, +76.09%, +97.56%, Materials, $372.43M
2041, EQS, Equity Story Group Ltd, $0.014, +7.69%, +16.67%, -35.39%, Financials, $7.64M
491, EQT, EQT Holdings Ltd, $23.67, -1.33%, +1.81%, -24.71%, Financials, $634.15M
1475, EQU, EQUUS Energy Ltd, $0.29, -1.70%, +45.00%, +45.00%, Energy, $33.22M
1583, EQX, Equatorial Resources Ltd, $0.19, 0.00%, -13.64%, +72.73%, Materials, $24.97M
371, ERA, Energy Resources of Australia Ltd, $0.003, 0.00%, -16.67%, -16.67%, Energy, $1.01B
826, ERD, Eroad Ltd, $1.045, +0.48%, -15.39%, -1.88%, Information Technology, $196.06M
2074, ERE, European Resources Ltd, $0.013, 0.00%, -13.33%, -51.79%, Materials, $6.81M
2218, ERG, Eneco Refresh Ltd, $0.015, 0.00%, -6.25%, -31.82%, Consumer Staples, $4.09M
1877, ERL, Empire Resources Ltd, $0.008, -11.11%, 0.00%, +100.00%, Materials, $11.87M
865, ERM, Emmerson Resources Ltd, $0.27, 0.00%, -1.82%, +264.87%, Materials, $175.23M
1120, ERTH, Betashares Climate Change Innovation ETF, $10.05, -0.99%, +3.40%, +9.60%, Financials, $82.06M
771, ESGI, Vaneck MSCI International Sustainable Equity ETF, $36.26, -1.06%, +2.57%, -0.82%, Financials, $237.66M
1141, ESK, Etherstack Plc, $0.55, -0.90%, -14.73%, +150.00%, Information Technology, $77.85M
1053, ESPO, Vaneck Video Gaming and Esports ETF, $18.79, -1.21%, -5.39%, +11.12%, Financials, $98.85M
1182, ESR, Estrella Resources Ltd, $0.031, 0.00%, -6.06%, +47.62%, Materials, $68.37M
585, ESTX, Global X Euro STOXX 50 ETF, $111.44, -0.46%, +2.94%, +24.75%, Financials, $426.78M
148, ETHI, Betashares Global Sustainability Leaders ETF, $16.47, -0.30%, +1.73%, +1.79%, Financials, $3.77B
903, ETM, Energy Transition Minerals Ltd, $0.079, -1.25%, +2.60%, +154.84%, Materials, $156.56M
609, ETPMAG, Global X Metal Securities Australia Ltd, $98.59, +2.40%, +38.76%, +123.51%, Financials, $395.02M
2183, ETPMPD, Global X Metal Securities Australia Ltd, $261.67, +4.02%, +33.51%, +88.16%, N/A, $4.71M
1535, ETPMPM, Global X Metal Securities Australia Ltd, $454.17, +1.18%, +19.55%, +79.79%, N/A, $27.94M
1777, ETPMPT, Global X Metal Securities Australia Ltd, $324.59, +7.48%, +50.29%, +132.23%, N/A, $15.18M
726, EUR, European Lithium Ltd, $0.165, -2.94%, +6.45%, +385.29%, Materials, $283.28M
2106, EV1, Evolution Energy Minerals Ltd, $0.012, 0.00%, +4.55%, -43.34%, Materials, $6.18M
1688, EV8, Everlast Minerals Ltd, $0.37, 0.00%, -8.64%, +85.00%, Materials, $19.61M
2087, EVE, EVE Health Group Ltd, $0.023, 0.00%, -4.17%, -42.50%, Consumer Staples, $6.55M
1711, EVG, Evion Group NL, $0.032, +6.67%, +3.23%, +28.00%, Materials, $18.49M
22, EVN, Evolution Mining Ltd, $12.94, -0.77%, +18.83%, +167.36%, Materials, $26.28B
976, EVO, Embark Early Education Ltd, $0.615, +1.65%, -6.82%, -19.61%, Consumer Discretionary, $125.14M
1593, EVR, EV Resources Ltd, $0.008, -5.88%, -11.11%, +300.00%, Materials, $24.32M
225, EVT, EVT Ltd, $12.96, -1.07%, -5.12%, +13.98%, Communication Services, $2.11B
1549, EVZ, EVZ Ltd, $0.225, 0.00%, +2.27%, +40.63%, Industrials, $27.34M
855, EWC, Energy World Corporation Ltd, $0.047, 0.00%, -17.54%, +147.37%, Utilities, $181.04M
498, EX20, Betashares Australian Ex-20 Portfolio Diversifier ETF, $23.99, -0.50%, +4.30%, +10.10%, Financials, $620.74M
2235, EXL, Elixinol Wellness Ltd, $0.009, -10.00%, -10.00%, -76.32%, Consumer Staples, $3.73M
1054, EXP, Experience Co Ltd, $0.13, 0.00%, +8.33%, +8.33%, Consumer Discretionary, $98.29M
991, EXR, Elixir Energy Ltd, $0.068, -1.45%, +61.91%, +51.11%, Energy, $119.51M
1754, EXT, Excite Technology Services Ltd, $0.008, 0.00%, -11.11%, -27.27%, Information Technology, $16.65M
1515, EXUS, Betashares Global Shares Ex US ETF, $35.89, -0.31%, +3.25%, +1.96%, Financials, $30.15M
1407, EYE, Nova EYE Medical Ltd, $0.135, 0.00%, +3.85%, -10.00%, Health Care, $38.45M
857, EZL, EUROZ Hartleys Group Ltd, $1.09, 0.00%, +11.22%, +25.29%, Financials, $179.66M
1203, EZZ, EZZ Life Science Holdings Ltd, $1.39, -2.11%, -42.08%, -56.15%, Health Care, $65.57M
588, F100, Betashares Ftse 100 ETF, $15.07, -0.13%, +4.08%, +20.75%, Financials, $422M
329, FAIR, Betashares Australian Sustainability Leaders ETF, $20.47, -0.78%, -0.15%, -3.85%, Financials, $1.22B
980, FAL, Falcon Metals Ltd, $0.58, -3.33%, +5.46%, +404.35%, Materials, $123.33M
297, FANG, Global X Fang+ ETF, $35.07, +0.26%, -2.26%, +4.56%, Financials, $1.49B
1408, FAR, FAR Ltd, $0.415, 0.00%, -1.19%, -20.95%, Energy, $38.35M
1694, FASI, Fidelity Asia Active ETF, $11.76, -0.76%, -2.89%, +8.59%, Financials, $19.42M
1655, FAU, First Au Ltd, $0.008, 0.00%, +14.29%, +433.33%, Materials, $20.97M
1559, FBR, FBR Ltd, $0.004, +33.33%, 0.00%, -89.19%, Industrials, $26.98M
164, FBU, Fletcher Building Ltd, $3.13, -1.26%, +7.56%, +22.75%, Industrials, $3.36B
2003, FCAP, Fidelity Global Future Leaders Active ETF, $11.71, -1.22%, +1.30%, -0.17%, Financials, $8.51M
2223, FCG, Freedom Care Group Holdings Ltd, $0.037, 0.00%, 0.00%, 0.00%, Health Care, $4.01M
381, FCL, Fineos Corporation Holdings Plc, $2.82, +0.71%, -0.35%, +51.21%, Information Technology, $970.62M
1802, FCT, Firstwave Cloud Technology Ltd, $0.007, 0.00%, -30.00%, -69.57%, Information Technology, $14.01M
